Geneid	Chr	Start	End	Strand	Length	logFC	logCPM	LR	PValue	FDR	significance
ENSG00000230936	7	55342316	55344958	+	2643	14.390988320027377	5.651815950431195	69.90537126754472	6.221879638412817e-17	1.8533112878940258e-12	Upregulated
ENSG00000286404	7;7	54721724;54730108	54722220;54731047	+;+	1437	12.111221334770047	7.124469755065513	67.45947097215927	2.150629049974533e-16	3.2030393755795706e-12	Upregulated
ENSG00000154997	7;7;7;7;7;7;7;7;7;7;7;7;7;7;7	55793540;55805258;55807090;55819127;55834425;55842942;55844523;55844537;55846517;55846517;55850787;55861943;55861943;55862688;55862688	55796092;55805390;55807258;55819223;55834586;55843128;55844718;55844718;55846637;55846637;55850906;55862011;55862011;55862755;55862752	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3875	13.436398335547937	4.699189292100935	63.17210405726376	1.8941197485427473e-15	1.8806714983280936e-11	Upregulated
ENSG00000016082	5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5	51383448;51383672;51384541;51384541;51386204;51387490;51387490;51387490;51389646;51389646;51389646;51391274;51391274;51391343;51393494;51393494;51393494	51383699;51383699;51384730;51384730;51386626;51387749;51387749;51387749;51389932;51389932;51389932;51391441;51391441;51391441;51393567;51394730;51393610	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2817	-11.780322018983842	4.859634532852541	60.65293432169046	6.807851666954303e-15	5.0696369400891954e-11	Downregulated
ENSG00000255725	12	25803298	25804526	+	1229	12.552180618630521	3.819629357165142	56.947699058959884	4.475576424939197e-14	2.6662798993932773e-10	Upregulated
ENSG00000211642	22;22	22214794;22214965	22214852;22215270	+;+	365	-10.389330596158436	3.3794929691154785	50.894566802399616	9.746299656141672e-13	4.838550464291533e-9	Downregulated
ENSG00000211890	14;14;14;14;14;14;14;14	105583731;105584133;105586889;105586999;105587554;105587554;105588089;105588089	105583853;105584368;105587331;105587331;105587874;105587874;105588395;105588395	-;-;-;-;-;-;-;-	1430	-8.985635500012076	7.174326828506527	49.044335112026694	2.502418972515601e-12	1.0648507704903173e-8	Downregulated
ENSG00000211891	14;14;14;14;14;14;14;14;14;14	105597691;105597859;105599941;105600074;105600481;105600481;105600891;105600891;105601419;105601419	105597774;105597980;105600397;105600397;105600804;105600804;105601211;105601211;105601728;105601728	-;-;-;-;-;-;-;-;-;-	1618	-11.000716801252539	2.2779542242685156	48.17283059378866	3.902584715584341e-12	1.4530786365388847e-8	Downregulated
ENSG00000259663	5;5;5;5;5	51372736;51377053;51378575;51379645;51382974	51379497;51379075;51379075;51379675;51383332	-;-;-;-;-	7152	-10.816797953142084	2.0988644252405972	46.89265196097936	7.498332244104358e-12	2.2890142811143897e-8	Downregulated
ENSG00000211668	22;22	22792491;22792696	22792578;22793007	+;+	400	-8.862806320701043	4.714851162450254	46.844560754162785	7.684608322806559e-12	2.2890142811143897e-8	Downregulated
ENSG00000189299	X	55623400	55626192	+	2793	-10.68122693270014	1.9652073116523097	45.94306211098535	1.2174030313163573e-11	3.296616735801849e-8	Downregulated
ENSG00000153993	7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7	84995553;84999397;85006802;85006802;85012782;85012782;85015059;85015059;85018252;85018252;85020233;85020233;85022391;85022391;85036889;85036889;85040673;85040673;85041078;85041838;85042171;85050357;85055717;85055717;85055717;85065424;85065424;85068191;85068191;85072962;85072962;85081517;85081517;85097805;85097805;85121741;85121741;85153608;85153608;85186678;85186678	84999865;84999865;85006941;85006941;85012846;85012846;85015216;85015216;85018293;85018293;85020321;85020321;85022613;85022613;85037033;85037033;85040742;85040742;85042285;85041939;85042285;85050750;85055859;85055765;85055859;85065552;85065552;85068284;85068284;85073081;85073081;85081579;85081579;85097965;85097965;85121931;85121931;85153739;85153739;85186855;85187056	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8259	-8.514339541911022	5.9140620433193405	45.386211205781514	1.617692709345898e-11	4.0155177277738555e-8	Downregulated
ENSG00000211938	14;14	106062151;106062559	106062455;106062683	-;-	430	-9.189316008737995	2.922988729579887	44.92102612277216	2.051432369699405e-11	4.409659102407896e-8	Downregulated
ENSG00000164093	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	110617423;110617423;110617423;110617423;110617424;110617426;110617429;110617436;110617927;110617927;110618209;110618465;110618586;110620000;110620277;110621164;110621164;110621164;110621164;110621164;110621164;110621164;110621164;110621164;110621164;110621599;110622256;110622256;110622256;110622991;110629077;110632343;110632343;110632343;110632343;110632343;110632953;110632953;110632953;110632953;110632953;110632953;110634158;110636781;110636781;110636781;110636781;110641919;110641919;110641919	110618688;110618688;110618688;110618688;110618688;110618688;110618826;110618688;110618688;110618688;110618688;110618688;110618688;110620716;110621369;110621369;110621369;110621369;110621369;110621369;110621369;110621369;110621369;110621369;110621369;110621734;110623051;110622367;110623077;110623125;110629251;110632480;110632513;110632480;110632480;110632480;110633008;110633008;110633008;110633008;110633008;110633008;110634391;110638154;110637026;110637352;110637011;110642123;110642016;110642006	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5995	-9.518904662234158	2.5756893150701345	44.78729407911581	2.196433605366756e-11	4.409659102407896e-8	Downregulated
ENSG00000211638	22;22	22098700;22098906	22098806;22099212	+;+	414	-8.973344143846054	3.181115535281896	44.70929499674873	2.2856965917999326e-11	4.409659102407896e-8	Downregulated
ENSG00000132465	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	70655541;70656320;70656363;70656385;70657211;70657211;70657211;70657211;70657269;70662092;70662092;70662092;70662092;70662092;70664102;70665860;70666427;70666427;70666427;70666427;70666427;70666849;70666849;70681778	70656539;70656539;70656539;70656539;70657291;70657291;70657291;70657291;70657291;70662215;70662215;70662215;70662215;70662215;70664149;70665886;70666526;70666514;70666514;70666514;70666508;70666884;70666975;70681817	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1546	-8.3431669149259	7.1232005791694455	44.6395075129183	2.3686355000008844e-11	4.409659102407896e-8	Downregulated
ENSG00000211898	14;14;14;14;14;14;14	105836765;105837444;105840367;105840901;105841961;105844825;105845375	105837159;105837601;105840690;105841224;105842032;105844926;105845677	-;-;-;-;-;-;-	1678	-8.476529731084389	3.9141462525499486	43.609789141172435	4.0082900622114563e-11	6.877979664529503e-8	Downregulated
ENSG00000211947	14;14	106235064;106235470	106235368;106235594	-;-	430	-8.552450821480624	3.6740293973242646	43.53883037653419	4.1562975110461293e-11	6.877979664529503e-8	Downregulated
ENSG00000211976	14;14	106802694;106803108	106803004;106803233	-;-	437	-9.99624593286108	1.2921028671334962	41.154736857324025	1.406420039668435e-10	2.2048965116633513e-7	Downregulated
ENSG00000211966	14;14	106578744;106579132	106579048;106579236	-;-	410	-8.316676978079297	2.879510958931325	40.92986234180663	1.5779155042292936e-10	2.3500684562238983e-7	Downregulated
